timestamp,datetime,event_type,resource_type,resource_id,details
2179.0,2025-12-02T12:19:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0087,"{""location"": ""WS_03"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2179.0,2025-12-02T12:19:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0088,"{""location"": ""WS_03"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2184.0,2025-12-02T12:24:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0120,"{""location"": ""collection2"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2184.0,2025-12-02T12:24:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0121,"{""location"": ""collection2"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2184.0,2025-12-02T12:24:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0122,"{""location"": ""collection2"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2184.0,2025-12-02T12:24:00+00:00,LocomotiveALLOCATEDEvent,locomotive,LOCO_02,"{""from_location"": """", ""to_location"": """", ""purpose"": ""batch_transport""}"
2184.0,2025-12-02T12:24:00+00:00,BatchFormed,batch,BATCH_retrofit_3_2500867311584,"{""destination"": ""retrofit"", ""wagon_count"": 3, ""locomotive_id"": """", ""wagon_ids"": ""W0120,W0121,W0122""}"
2191.0,2025-12-02T12:31:00+00:00,WagonMOVINGEvent,wagon,W0120,"{""location"": ""collection2"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2191.0,2025-12-02T12:31:00+00:00,WagonMOVINGEvent,wagon,W0121,"{""location"": ""collection2"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2191.0,2025-12-02T12:31:00+00:00,WagonMOVINGEvent,wagon,W0122,"{""location"": ""collection2"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2191.0,2025-12-02T12:31:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""collection2"", ""to_location"": ""retrofit2"", ""purpose"": """"}"
2191.0,2025-12-02T12:31:00+00:00,BatchTransportStarted,batch,BATCH_retrofit_3_2500867311584,"{""destination"": ""retrofit"", ""wagon_count"": 3, ""locomotive_id"": ""LOCO_02""}"
2220.5,2025-12-02T13:00:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0150,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2220.5,2025-12-02T13:00:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0151,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2220.5,2025-12-02T13:00:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0152,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2220.5,2025-12-02T13:00:30+00:00,BatchArrivedAtDestination,batch,BATCH_retrofit_3_2500867316688,"{""destination"": ""retrofit"", ""wagon_count"": 3, ""locomotive_id"": """"}"
2224.0,2025-12-02T13:04:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""track_19"", ""to_location"": ""WS_02"", ""purpose"": """"}"
2224.0,2025-12-02T13:04:00+00:00,BatchFormed,batch,BATCH_parking11_4_2500866431424,"{""destination"": ""parking11"", ""wagon_count"": 4, ""locomotive_id"": """", ""wagon_ids"": ""W0051,W0052,W0085,W0086""}"
2229.0,2025-12-02T13:09:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0053,"{""location"": ""WS_02"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2229.0,2025-12-02T13:09:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0054,"{""location"": ""WS_02"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2231.0,2025-12-02T13:11:00+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W0053,"{""location"": ""WS_02"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2231.0,2025-12-02T13:11:00+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W0054,"{""location"": ""WS_02"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2231.0,2025-12-02T13:11:00+00:00,WagonMOVINGEvent,wagon,W0053,"{""location"": ""WS_02"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2231.0,2025-12-02T13:11:00+00:00,WagonMOVINGEvent,wagon,W0054,"{""location"": ""WS_02"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2231.0,2025-12-02T13:11:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""WS_02"", ""to_location"": ""retrofitted1"", ""purpose"": """"}"
2232.5,2025-12-02T13:12:30+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0055,"{""location"": ""WS_01"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2232.5,2025-12-02T13:12:30+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0066,"{""location"": ""WS_01"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2235.5,2025-12-02T13:15:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""retrofit1"", ""to_location"": ""track_19"", ""purpose"": """"}"
2236.0,2025-12-02T13:16:00+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W0053,"{""location"": ""retrofitted1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2236.0,2025-12-02T13:16:00+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W0054,"{""location"": ""retrofitted1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2236.0,2025-12-02T13:16:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""retrofitted1"", ""to_location"": ""track_19"", ""purpose"": """"}"
2237.5,2025-12-02T13:17:30+00:00,LocomotiveALLOCATEDEvent,locomotive,LOCO_03,"{""from_location"": """", ""to_location"": """", ""purpose"": ""batch_transport""}"
